ID,class,nfp,qs_error,aspect_ratio,mean_iota
1809398,QH,4,-1.7409,6.000,1.1
1331857,QH,4,-2.0646,8.000,1.3
2582851,QH,4,-1.9862,12.000,1.5
2493104,QH,4,-1.9043,8.000,2.0
2427609,QH,5,-4.2116,24.000,2.6
1856583,QH,5,-4.3554,24.000,1.6
1574333,QH,5,-3.7511,24.000,1.4
1569016,QH,5,-3.7245,24.000,1.4
1856039,QH,5,-3.8218,24.000,1.3
1571526,QH,5,-3.7063,24.000,1.4
1121685,QH,5,-3.4907,20.000,1.3
1854549,QH,5,-3.3731,24.000,1.5
1749785,QH,5,-3.1733,12.000,1.6
1611640,QH,5,-3.4204,12.000,2.2
2425037,QH,5,-3.5889,24.000,1.1
1610630,QH,5,-3.3923,12.000,1.7
2428526,QH,5,-3.0324,24.000,1.5
2429625,QH,5,-3.0580,24.000,2.0
1895847,QH,5,-2.7661,12.000,2.0
1747877,QH,5,-2.7624,12.000,1.6
1785050,QH,5,-2.6826,8.000,1.4
1821296,QH,5,-2.7052,6.000,1.8
1607357,QH,5,-2.0948,12.000,1.6
1894960,QH,5,-2.4265,12.000,1.6
1642802,QH,5,-2.3468,8.000,1.5
2465759,QH,5,-2.2068,12.000,2.3
1893882,QH,5,-2.1687,12.000,1.1
1642553,QH,5,-2.4967,8.000,1.3
1818651,QH,5,-1.3991,6.007,1.1
2530389,QH,5,-1.2662,6.006,1.2
1642116,QH,5,-1.8596,8.000,1.1
1681455,QH,5,-1.7289,6.000,1.6
2461576,QH,5,-1.7790,12.002,1.7
1680659,QH,5,-1.8369,6.000,1.2
1970299,QH,6,-3.6330,24.000,2.5
1973808,QH,6,-4.0960,24.000,3.1
1970553,QH,6,-3.6380,24.000,2.7
1971507,QH,6,-3.9717,24.000,3.5
1973204,QH,6,-3.9398,24.000,2.7
1970427,QH,6,-3.6892,24.000,2.6
1976169,QH,6,-3.2997,24.000,2.5
1974924,QH,6,-3.4740,24.000,3.8
1970412,QH,6,-3.3389,24.000,2.6
1971023,QH,6,-3.1265,24.000,3.1
1972229,QH,6,-3.5406,24.000,4.1
1971503,QH,6,-3.4678,24.000,3.5
1977096,QH,6,-2.6375,24.000,3.1
2007828,QH,6,-2.9340,12.000,4.1
2007457,QH,6,-2.9900,12.000,3.8
1969311,QH,6,-3.0631,24.000,3.5
2004285,QH,6,-2.7351,12.000,2.8
1975045,QH,6,-3.0236,24.000,3.9
1968931,QH,6,-2.5671,24.000,3.1
2013568,QH,6,-2.3338,12.000,3.6
1976590,QH,6,-2.2523,24.000,2.8
2040317,QH,6,-2.3586,8.000,3.3
1973589,QH,6,-2.4739,24.012,3.0
