ID,class,nfp,aspect,d_min_over_a,gap_m_ARIESCS,blanket_fit_1.29m,blanket_fit_1.0m
1987091,QH,7,24.000,3.5893,6.116,1,1
1987238,QH,7,24.000,3.5701,6.083,1,1
1987996,QH,7,24.000,3.5902,6.118,1,1
1988084,QH,7,24.000,3.5740,6.090,1,1
1988211,QH,7,24.000,3.6020,6.138,1,1
1991816,QH,8,24.000,3.5574,6.062,1,1
1991944,QH,8,24.000,3.5727,6.088,1,1
1992228,QH,8,24.008,3.5867,6.112,1,1
1993559,QH,8,24.000,3.5585,6.064,1,1
1994178,QH,8,24.000,3.6030,6.139,1,1
1994309,QH,8,24.000,3.5907,6.119,1,1
1994380,QH,8,24.000,3.5763,6.094,1,1
1995066,QH,8,24.000,3.5789,6.098,1,1
1996104,QH,8,24.000,3.5911,6.119,1,1
1996122,QH,8,24.000,3.5886,6.115,1,1
1996321,QH,8,24.000,3.5854,6.110,1,1
1996625,QH,8,24.000,3.5901,6.118,1,1
1996774,QH,8,24.000,3.5868,6.112,1,1
1996811,QH,8,24.000,3.5932,6.123,1,1
1996833,QH,8,24.000,3.5816,6.103,1,1
1996973,QH,8,24.000,3.5777,6.096,1,1
1997015,QH,8,24.000,3.5878,6.114,1,1
1997062,QH,8,24.000,2.6408,4.500,1,1
2004285,QH,6,12.000,1.7654,3.008,1,1
2007457,QH,6,12.000,1.1071,1.886,1,1
2007828,QH,6,12.000,0.6956,1.185,0,1
2008487,QH,6,12.000,1.7746,3.024,1,1
2010135,QH,6,12.000,1.7385,2.962,1,1
2013568,QH,6,12.000,1.7674,3.012,1,1
2018003,QH,7,12.000,1.7644,3.007,1,1
2019378,QH,7,12.001,1.7057,2.907,1,1
2019565,QH,7,12.000,1.7861,3.043,1,1
2021294,QH,7,12.001,1.7875,3.046,1,1
2021692,QH,7,12.000,1.7928,3.055,1,1
2022645,QH,7,12.000,1.7743,3.023,1,1
2024496,QH,7,12.000,1.8071,3.079,1,1
2031484,QH,8,12.200,1.7380,2.962,1,1
2033774,QH,8,12.003,1.3334,2.272,1,1
2040317,QH,6,8.000,0.7154,1.219,0,1
2047704,QH,6,8.000,0.8323,1.418,1,1
2059165,QH,7,8.000,0.8873,1.512,1,1
2115647,QH,2,24.000,6.6490,11.330,1,1
2116450,QH,2,24.000,7.2754,12.397,1,1
2116476,QH,2,24.000,7.2986,12.437,1,1
2147191,QH,2,12.000,3.4175,5.824,1,1
2151635,QH,2,12.000,3.5055,5.973,1,1
2158036,QH,2,12.000,2.8339,4.829,1,1
2158593,QH,2,12.000,3.3393,5.690,1,1
2160797,QH,3,12.000,2.4272,4.136,1,1
2186497,QH,2,8.000,2.5197,4.293,1,1
2187239,QH,2,8.000,2.1992,3.747,1,1
2258826,QH,2,24.000,8.0819,13.772,1,1
2262053,QH,2,24.000,8.0840,13.775,1,1
2263414,QH,2,24.000,7.9916,13.618,1,1
2291244,QH,2,12.000,3.5939,6.124,1,1
2292778,QH,2,12.000,4.4268,7.543,1,1
2300745,QH,2,12.000,3.2296,5.503,1,1
2324964,QH,2,8.000,2.8941,4.932,1,1
2327106,QH,2,8.000,2.1188,3.611,1,1
2328973,QH,2,8.000,1.9524,3.327,1,1
2328994,QH,2,8.000,1.9814,3.376,1,1
2332502,QH,2,8.000,1.4679,2.501,1,1
2362093,QH,2,6.000,1.5325,2.611,1,1
2362839,QH,2,6.000,1.9821,3.377,1,1
2417717,QH,4,24.000,4.8483,8.262,1,1
2425037,QH,5,24.000,3.5759,6.093,1,1
2427609,QH,5,24.000,4.3393,7.394,1,1
2428526,QH,5,24.000,3.5899,6.117,1,1
2429625,QH,5,24.000,4.0298,6.867,1,1
2441815,QH,3,12.001,1.8318,3.121,1,1
2445074,QH,3,12.000,2.9071,4.954,1,1
2445239,QH,3,12.000,3.1179,5.313,1,1
2447537,QH,3,12.000,3.0428,5.185,1,1
2453253,QH,4,12.000,2.1890,3.730,1,1
2461576,QH,5,12.002,1.7763,3.027,1,1
2465759,QH,5,12.000,1.7888,3.048,1,1
2485498,QH,4,8.000,1.1627,1.981,1,1
2487574,QH,4,8.000,1.1724,1.998,1,1
2488091,QH,4,8.000,1.1840,2.018,1,1
2493104,QH,4,8.000,1.6429,2.800,1,1
2502284,QH,2,6.000,0.5973,1.018,0,1
2518816,QH,3,6.001,1.2628,2.152,1,1
2530389,QH,5,6.006,0.8486,1.446,1,1
2557281,QH,7,24.000,4.4827,7.639,1,1
2561058,QH,8,24.000,3.5938,6.124,1,1
2562466,QH,8,24.000,4.0931,6.975,1,1
2582851,QH,4,12.000,2.3363,3.981,1,1
2588494,QH,6,11.984,1.8035,3.073,1,1
2596661,QH,8,12.011,1.7963,3.061,1,1
2630694,QH,7,8.465,1.2073,2.057,1,1
2632206,QH,8,8.334,1.2116,2.065,1,1
2632243,QH,8,8.912,1.2306,2.097,1,1
2659427,QH,6,5.998,0.9949,1.695,1,1
2696682,QH,7,24.000,3.8266,6.521,1,1
