ID,nfp,symmetry_class,aspect,a,R0,n_coils,nc_per_hp,qs_error,d_min,d_min_over_a,d_min_over_R0,d_min_per_coil_min,d_min_per_coil_max
168794,2,QA,4.9999240928,0.2000010121,1.002976376651272,4,1,-1.8623666072,0.3474032776173039,1.73700759795957,0.3463723430627655,0.3474032776173039,0.3474032776173041
174071,2,QA,6.6666223517,0.1499803701,1.001604092642282,4,1,-1.5505183665,0.3906176622742909,2.6044585835722702,0.38999207885005926,0.3906176622742909,0.3906176622742912
178432,2,QA,6.6666670906,0.1499999968,1.023727942212115,8,2,-3.8129904552,0.37027182801214525,2.468478906075185,0.3616896762747787,0.37027182801214525,0.4551777345543909
179224,2,QA,4.9999998432,0.2000000021,1.016511515327778,8,2,-3.1253599183,0.3093419421478428,1.5467096944987622,0.30431720396998585,0.3093419421478428,0.4183051133209975
180269,2,QA,3.3333323497,0.3000000295,1.014562086638834,8,2,-2.6378241502,0.2942257919067896,0.9807525432486319,0.29000274678264093,0.2942257919067896,0.3486490575481036
180790,2,QA,9.9999889172,0.1000000369,0.9989275587106875,8,2,-2.5107285189,0.2871878220334619,2.8718771606119464,0.287496144769631,0.2871878220334619,0.4059464413193597
185880,2,QA,6.6666662253,0.1500000033,0.9827021490133887,8,2,-3.124037893,0.3343755910327811,2.2291705578434553,0.3402613817101009,0.3343755910327811,0.42185427405765263
189654,2,QA,4.9999999932,0.2000000001,1.005644023337738,12,3,-3.8279347564,0.3208559131651634,1.6042795650236772,0.3190551584050993,0.3208559131651634,0.38016416377411943
192284,2,QA,9.9999999839,0.1000000001,0.9986787866499328,12,3,-4.6040034196,0.41737523709040614,4.173752366730309,0.41792740836169257,0.41737523709040614,0.5256788633477766
209893,3,QA,3.3333267713,0.3000001969,1.099119166754954,6,1,-1.8268848029,0.2054178118747091,0.6847255901741346,0.18689312140846917,0.2054178118747091,0.20541781187470948
220230,3,QA,5.0000743498,0.1999990087,1.021191622809174,12,2,-2.0156699311,0.15859604395752627,0.7929841502135718,0.15530488148859647,0.15859604395752627,0.2590337801095731
225971,3,QA,4.0000525982,0.2499989042,1.002993115802106,12,2,-2.296469678,0.2125792946244995,0.8503209056245915,0.21194491893844877,0.2125792946244995,0.2414051720192625
232765,3,QA,10.0000001803,0.0999999994,1.011695381035382,24,4,-3.536631519,0.133886443975059,1.3388644477837768,0.13233869254007852,0.133886443975059,0.2835906131688129
235789,4,QA,10.0000281238,0.0999999063,1.024752356569596,8,1,-2.1653626919,0.22391333273209382,2.239135425390832,0.21850482343036873,0.22391333273209382,0.22391333273209402
237722,4,QA,6.6668367909,0.1499987241,1.012175788368515,8,1,-1.5915106175,0.23033891664539444,1.5356058394992336,0.22756809567305336,0.23033891664539444,0.23033891664539477
243019,4,QA,19.9999998981,0.0500000001,1.011639638956006,16,2,-3.3345014745,0.2211683396724361,4.423366784601988,0.2186236394420822,0.2211683396724361,0.22823261666204636
244209,4,QA,20.0000001847,0.0499999998,1.018631018608593,16,2,-3.6609964718,0.18349323219216182,3.669864658522695,0.1801370946300122,0.18349323219216182,0.2242466142088657
248934,4,QA,20.000000447,0.0499999996,1.004641118840518,16,2,-3.3172504651,0.17361895056898094,3.472379039158651,0.17281688685941804,0.17361895056898094,0.3673954408794568
251797,5,QA,19.9999981506,0.0500000015,1.01520385619875,10,1,-3.8142702025,0.14223565783440278,2.8447130713466633,0.1401055137506854,0.14223565783440278,0.1428472567065551
252042,5,QA,20.0000016504,0.0499999986,1.016381276741031,10,1,-2.9843895651,0.2188846508573954,4.377693139723316,0.2153568310105403,0.2188846508573954,0.21947211822646162
252393,5,QA,10.0000056144,0.0999999813,1.043270050904595,10,1,-2.2733030889,0.15992373392642556,1.599237638321694,0.1532908318299365,0.15992373392642556,0.1604203649467026
252504,5,QA,19.9999998182,0.0500000002,1.017459181451989,10,1,-3.319268259,0.1614626665922826,3.2292533189286385,0.15869203358297232,0.1614626665922826,0.1618135554962296
252527,5,QA,6.6666917004,0.1499998122,1.070214992436042,10,1,-2.0681868624,0.157312630950905,1.0487521860437703,0.1469916157620136,0.157312630950905,0.15776031861121848
252812,5,QA,20.0000006248,0.0499999995,1.013993331982434,10,1,-3.4987270011,0.16810810375892188,3.3621621088000584,0.16578817479031915,0.16810810375892188,0.16849904630529378
252896,5,QA,20.0000004878,0.0499999996,1.012131554466945,10,1,-3.6848944161,0.1634451242933796,3.268902512018812,0.1614860475123321,0.1634451242933796,0.16394166380404201
252973,5,QA,20.0000000271,0.05,1.013094964547591,10,1,-3.6920573,0.15819318616868844,3.1638637233737685,0.15614842803935106,0.15819318616868844,0.1587156133503243
