ID,class,nfp,ok,passed,C,S_phi,boundary_flux_rms,boundary_flux_max,aspect
1626754,QH,3,1,1,0.8417444385455669,0.5808201567601152,0.021082671534369327,0.07706231390736087,8.0009739132
1150659,QH,3,1,1,0.8314359386942397,0.5421345347932207,0.0044396222459477655,0.014606350714973515,9.9968846075
1883980,QH,4,1,1,0.6992281647308087,0.23196540657985398,0.004393020884346538,0.010138478367090035,11.999999896
1328582,QH,4,1,1,0.6399629323695671,0.12892670007457352,0.01711531115866323,0.12226234797991399,8.0000000515
2486769,QH,4,1,1,0.6851400084533922,0.1976314724642878,0.008097519218536752,0.022897849189281224,8.0000042224
1602619,QH,4,1,1,0.6989195461081016,0.23300241854669457,0.0045411164600137445,0.012711131033833057,11.9999999019
1737668,QH,4,1,1,0.6903211357269324,0.22294213639959048,0.004630418858258597,0.010233604278523052,11.9999998701
1295366,QH,4,1,1,0.7596672789066293,0.3733843468192404,0.006555716236005187,0.020999258511873106,11.9999989198
1809808,QH,4,1,1,0.7123674557333886,0.27084704005136884,0.007099942324323615,0.03748283536721133,6.0000004312
2451281,QH,4,1,1,0.7062128896935872,0.2753581744854785,0.004510319044891632,0.011374146750578755,11.9999997816
1776535,QH,4,1,0,,,0.004817910455291104,0.019240285470450494,8.0000005187
1741823,QH,4,1,1,0.7379054301410993,0.3270569466930743,0.004080143398250747,0.008787821786963424,11.9999995458
1329537,QH,4,1,1,0.7029857339718996,0.24506947297051396,0.004804779588438997,0.01533788602508585,7.9999995908
2492217,QH,4,1,1,0.6901494881958207,0.224539682982967,0.008259467423809022,0.04389391355742856,8.0000019889
1775068,QH,4,1,1,0.6754935356797082,0.1826620352631082,0.007410767091972961,0.021411969692580274,7.999999922
2519810,QH,4,1,0,,,0.005558354314263714,0.02606888056837793,6.0000037393
1923154,QH,4,1,1,0.6968875849616518,0.2324869374036036,0.005258627427972554,0.01974070894861425,7.9999980511
1777914,QH,4,1,1,0.7443088358175377,0.33589085144380415,0.007176967269282044,0.021149116479837946,8.0000007795
1956563,QH,4,1,0,,,0.13820573569427397,0.9619055579400219,5.9999957126
1954618,QH,4,1,1,0.7327003539903907,0.3207588758213096,0.009057449273322127,0.050867337612807165,6.0000021243
